ticker,signal,score,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
NRG,BUY,0.7797,2024-03-13,2024-03-14,60.6102,2024-04-15,70.8224,trailing_stop,16.85,57.3136,0.0
KEX,BUY,0.7749,2024-04-08,2024-04-09,100.31,2024-04-16,96.54,sl_hit,-3.76,96.6457,0.0
ALSN,BUY,0.78,2024-02-15,2024-02-16,69.6949,2024-04-18,78.0386,trailing_stop,11.97,65.9658,0.0
FTAI,BUY,0.7965,2024-04-04,2024-04-05,68.5975,2024-04-18,68.5975,trailing_stop,0.0,64.4816,0.0
AR,BUY,0.7609,2024-04-29,2024-04-30,34.59,2024-05-01,32.5146,sl_hit,-6.0,32.5146,0.0
CVNA,BUY,0.7576,2024-05-02,2024-05-03,119.2,2024-05-07,119.2,trailing_stop,0.0,112.048,0.0
NRG,STRONG_BUY,0.8059,2024-05-09,2024-05-10,80.6453,2024-05-17,80.6453,trailing_stop,0.0,75.8066,0.0
CL,BUY,0.7571,2024-05-02,2024-05-03,89.2798,2024-05-28,89.2798,trailing_stop,0.0,86.6186,0.0
JCI,BUY,0.7603,2024-05-21,2024-05-22,70.4467,2024-05-29,70.4467,trailing_stop,0.0,67.5249,0.0
AGX,BUY,0.7576,2024-05-13,2024-05-14,66.5959,2024-06-03,69.6937,pre_earnings,4.65,63.4266,0.0
KEX,BUY,0.7617,2024-04-26,2024-04-29,111.58,2024-06-04,118.674,trailing_stop,6.36,105.6514,0.0
CRS,BUY,0.7686,2024-05-01,2024-05-02,99.294,2024-06-04,106.3562,trailing_stop,7.11,93.3363,0.0
QXO,BUY,0.7529,2024-06-05,2024-06-06,135.92,2024-06-06,127.7648,sl_hit,-6.0,127.7648,0.0
HEI,BUY,0.7788,2024-05-31,2024-06-03,222.4346,2024-06-07,222.4346,trailing_stop,0.0,213.812,0.0
WELL,BUY,0.7619,2024-05-31,2024-06-03,100.8895,2024-06-10,100.8895,trailing_stop,0.0,97.96,0.0
QXO,STRONG_BUY,0.8451,2024-06-07,2024-06-10,209.04,2024-06-10,256.2962,trailing_stop,22.61,196.4976,0.0
TMUS,BUY,0.7776,2024-06-04,2024-06-05,175.066,2024-06-11,175.066,trailing_stop,0.0,169.673,0.0
CTRE,BUY,0.7765,2024-06-05,2024-06-06,24.2197,2024-06-11,23.4744,sl_hit,-3.08,23.4744,0.0
DPZ,BUY,0.763,2024-04-30,2024-05-01,512.2607,2024-06-14,509.6517,timeout_30d,-0.51,486.2457,0.0
HWM,BUY,0.7943,2024-05-03,2024-05-06,79.2881,2024-06-14,80.8535,trailing_stop,1.97,74.8793,0.0
QXO,BUY,0.7536,2024-06-11,2024-06-12,171.0,2024-06-14,129.4,sl_hit,-24.33,160.74,0.0
VRTX,BUY,0.7532,2024-06-03,2024-06-04,472.57,2024-06-18,472.57,trailing_stop,0.0,454.0686,0.0
THC,BUY,0.7704,2024-05-02,2024-05-03,121.0,2024-06-20,135.2325,trailing_stop,11.76,113.74,0.0
NVDA,STRONG_BUY,0.8598,2024-06-06,2024-06-07,119.7089,2024-06-20,133.0231,trailing_stop,11.12,112.5264,0.0
AVAV,BUY,0.764,2024-06-17,2024-06-18,215.82,2024-06-20,203.5886,sl_hit,-5.67,203.5886,0.0
WWD,BUY,0.7731,2024-05-06,2024-05-07,171.3144,2024-06-26,177.3515,trailing_stop,3.52,161.6737,0.0
AGX,STRONG_BUY,0.8297,2024-06-10,2024-06-11,76.0169,2024-06-28,71.4559,sl_hit,-6.0,71.4559,0.0
NTAP,STRONG_BUY,0.8043,2024-06-03,2024-06-04,115.1156,2024-07-17,124.5702,trailing_stop,8.21,110.7376,0.0
TRGP,BUY,0.768,2024-06-21,2024-06-24,120.9801,2024-07-24,127.076,trailing_stop,5.04,116.035,0.0
KMI,BUY,0.7573,2024-07-18,2024-07-19,19.5763,2024-07-24,19.5763,trailing_stop,0.0,18.9498,0.0
LDOS,BUY,0.7633,2024-05-01,2024-05-02,139.7893,2024-07-25,149.722,pre_earnings,7.11,134.2899,0.0
DTM,BUY,0.7566,2024-06-24,2024-06-25,67.603,2024-07-25,70.835,pre_earnings,4.78,65.483,0.0
NYT,BUY,0.7643,2024-07-15,2024-07-16,52.7165,2024-07-25,52.7165,trailing_stop,0.0,51.099,0.0
ASTS,STRONG_BUY,0.8056,2024-07-26,2024-07-29,18.795,2024-07-30,17.6673,sl_hit,-6.0,17.6673,0.0
JEF,BUY,0.7539,2024-07-16,2024-07-17,53.9308,2024-08-02,53.9308,trailing_stop,0.0,51.4354,0.0
CRS,BUY,0.7832,2024-07-25,2024-07-26,135.7646,2024-08-02,138.7328,trailing_stop,2.19,127.6188,0.0
ASTS,STRONG_BUY,0.8109,2024-07-31,2024-08-01,20.37,2024-08-02,19.1478,sl_hit,-6.0,19.1478,0.0
AEP,BUY,0.7657,2024-08-01,2024-08-02,97.4745,2024-08-02,94.2295,sl_hit,-3.33,94.2295,0.0
WELL,BUY,0.7594,2024-07-30,2024-07-31,109.1252,2024-08-05,109.1252,trailing_stop,0.0,104.833,0.0
SFM,BUY,0.7622,2024-07-31,2024-08-01,100.38,2024-08-05,92.54,sl_hit,-7.81,94.3572,0.0
AFL,STRONG_BUY,0.8248,2024-08-01,2024-08-02,96.7128,2024-08-05,92.799,sl_hit,-4.05,92.799,0.0
JHG,BUY,0.7763,2024-08-01,2024-08-02,35.0458,2024-08-05,32.1599,sl_hit,-8.23,33.4688,0.0
PM,BUY,0.7702,2024-08-01,2024-08-02,111.5559,2024-08-05,107.7894,sl_hit,-3.38,107.7894,0.0
RKT,BUY,0.7849,2024-08-02,2024-08-05,15.1409,2024-08-07,16.4772,trailing_stop,8.83,14.2325,0.0
