date,balance,cash,stock_val,etf_val,sgov_val,n_stocks,etf_names
2024-01-15,7047.4744215621895,0.0,4140.8904,2906.5840215621893,0.0,6,XLC+XLF
2024-01-16,6996.699796188091,24.598573504451906,4512.8028,2459.298422683639,0.0,6,XLF
2024-01-17,6992.08925462192,107.32410455182816,4988.1528,1896.6123500700928,0.0,7,XLF
2024-01-18,7012.3506651192665,25.766232845021364,5150.8428,1835.7416322742447,0.0,7,XLF
2024-01-19,7041.85603187799,25.766232845021364,5150.8428,1865.2469990329682,0.0,7,XLF
2024-01-22,7073.995270176829,126.6502035478793,5375.1056,1572.2394666289492,0.0,8,QQQ+XLK
2024-01-23,7060.332039866473,292.1208519478794,5189.5622,1578.648987918593,0.0,8,QQQ+XLK
2024-01-24,7141.676448003542,947.1961159478794,4605.7963,1588.6840320556626,0.0,7,QQQ+XLK
2024-01-25,7227.203488228277,158.9938793878789,5474.742,1593.467608840398,0.0,7,QQQ+XLK
2024-01-26,7212.9838160369845,280.2073160369844,6932.7765,0.0,0.0,9,-
2024-01-29,7224.230408536985,163.25669249999999,6780.7664,280.2073160369844,0.0,9,XLC+XLK
2024-01-30,7222.12636833028,48.93296833027961,7173.1934,0.0,0.0,10,-
2024-01-31,7374.1579312102795,3572.4732312102797,3801.6847,0.0,0.0,5,-
2024-02-01,7353.56748871028,761.16378871028,6592.4037,0.0,0.0,9,-
2024-02-02,7385.381584730279,1154.61588473028,6230.7657,0.0,0.0,9,-
2024-02-05,7444.53280913028,849.4014244000001,5440.5154999999995,1154.61588473028,0.0,8,XLC+XLK
2024-02-06,7407.021463599933,134.7968832127416,6529.4429,742.7816803871915,0.0,10,XLC+XLK
2024-02-07,7415.483845292892,67.69698710774196,7079.7029,268.0839581851497,0.0,11,XLK
2024-02-08,7436.218929854969,800.7052230677419,6366.5905,268.9232067872269,0.0,10,XLK
2024-02-09,7477.863790732164,1294.9094750277418,5910.4119,272.54241570442133,0.0,9,XLK
2024-02-12,7494.335662813712,49.9876755073991,6872.1781,572.1698873063125,0.0,10,XLK
2024-02-13,7539.609380301072,743.0105032573991,6234.1381,562.4607770436721,0.0,9,XLK
2024-02-14,7545.490364091498,1.0272368982710987,7528.1611,16.3020271932267,0.0,11,XLK
2024-02-15,7545.456149887004,1.0272368982710987,7528.1611,16.267812988732217,0.0,11,XLK
2024-02-16,7997.296389576176,2800.341264558271,5180.8369,16.118225017904454,0.0,7,XLK
