strategy,ticker,entry_date,exit_date,entry_price,exit_price,pl_pct,holding_days,allocated
V2-バランス(+ETF),DLR,2024-10-28,2024-12-10,175.4066191397542,179.1834,2.15,31,1821.29
V2-バランス(+ETF),CBRE,2024-10-25,2024-12-18,134.66000366210938,131.6831,-2.21,38,1820.0
V2-バランス(+ETF),BAM,2024-11-05,2024-12-18,52.14384892842505,53.0629,1.76,31,1770.78
V2-バランス(+ETF),SITM,2024-12-10,2024-12-18,251.3800048828125,231.2696,-8.0,7,2579.5
V2-バランス(+ETF),FFIV,2024-10-30,2024-12-19,240.00999450683594,250.019,4.17,36,1827.28
V2-バランス(+ETF),QBTS,2024-12-19,2024-12-19,9.289999961853027,8.5468,-8.0,1,2525.71
V2-バランス(+ETF),PLTR,2024-12-23,2024-12-31,80.6500015258789,74.198,-8.0,6,2502.44
V2-バランス(+ETF),JBL,2024-12-19,2025-01-27,144.97540397257148,160.8575,10.96,24,2525.71
V2-バランス(+ETF),ALK,2024-12-11,2025-03-03,62.0,69.176,11.57,54,2587.74
V2-バランス(+ETF),FOXA,2024-12-19,2025-03-10,48.49137080312549,53.4436,10.21,53,2525.71
V2-バランス(+ETF),DRI,2024-12-20,2025-03-12,176.65963275097408,182.9177,3.54,54,2501.74
V2-バランス(+ETF),ABT,2025-01-28,2025-03-12,127.3602580620703,129.8535,1.96,31,2515.33
V2-バランス(+ETF),VRSN,2025-01-02,2025-04-04,207.4121198675677,239.762,15.6,64,2462.52
V2-バランス(+ETF),THG,2025-03-04,2025-04-04,169.6083357046839,161.827,-4.59,24,2568.72
V2-バランス(+ETF),NXT,2025-05-14,2025-05-22,52.709999084472656,52.5955,-0.22,7,2703.1
V2-バランス(+ETF),UBER,2025-05-13,2025-05-29,87.41000366210938,83.5019,-4.47,12,2700.31
V2-バランス(+ETF),QBTS,2025-05-23,2025-05-29,17.905000686645508,16.4726,-8.0,4,2699.48
V2-バランス(+ETF),PAYC,2025-05-13,2025-06-13,256.61691929489507,244.1116,-4.87,23,2700.31
V2-バランス(+ETF),BA,2025-05-30,2025-06-13,206.77000427246094,200.68,-2.95,11,2638.32
V2-バランス(+ETF),LPLA,2025-05-30,2025-06-24,383.5704327433076,356.9489,-6.94,17,2638.32
V2-バランス(+ETF),MP,2025-06-16,2025-07-07,31.469999313354492,30.54,-2.96,14,2600.59
V2-バランス(+ETF),NRG,2025-05-13,2025-07-08,148.85416911434544,151.5151,1.79,38,2700.31
V2-バランス(+ETF),U,2025-07-09,2025-07-24,29.3700008392334,32.4208,10.39,12,2567.58
V2-バランス(+ETF),TTMI,2025-05-13,2025-08-01,29.020000457763672,43.2825,49.15,56,2700.31
V2-バランス(+ETF),CELH,2025-06-25,2025-08-05,45.5099983215332,42.9909,-5.54,29,2569.47
V2-バランス(+ETF),ORCL,2025-06-16,2025-08-19,211.81944003306123,236.7374,11.76,45,2600.59
V2-バランス(+ETF),BWXT,2025-08-06,2025-08-19,179.92394711736765,165.53,-8.0,10,2838.3
V2-バランス(+ETF),ORA,2025-08-20,2025-09-02,92.74739410572177,89.0608,-3.97,9,2854.1
V2-バランス(+ETF),WMS,2025-08-20,2025-09-09,142.05601282652495,135.0123,-4.96,14,2854.1
V2-バランス(+ETF),OSK,2025-07-08,2025-09-17,123.21694814367764,133.3871,8.25,51,2558.01
V2-バランス(+ETF),BE,2025-07-25,2025-09-24,33.54999923706055,69.28,106.5,43,2619.87
V2-バランス(+ETF),QBTS,2025-09-18,2025-10-21,22.8700008392334,33.3928,46.01,24,2860.72
V2-バランス(+ETF),ALNY,2025-09-10,2025-10-30,478.5,444.8397,-7.03,37,2814.04
V2-バランス(+ETF),IONS,2025-09-03,2025-11-10,58.97999954223633,68.9245,16.86,49,2831.56
V2-バランス(+ETF),LITE,2025-11-11,2025-11-13,252.00999450683594,231.8492,-8.0,3,3697.42
V2-バランス(+ETF),NVT,2025-08-04,2025-11-14,90.20973597397438,102.337,13.44,74,2865.3
V2-バランス(+ETF),GM,2025-10-22,2025-11-18,66.75834833371623,66.888,0.19,20,3630.92
V2-バランス(+ETF),XEL,2025-09-25,2025-12-03,77.56135893846987,77.7986,0.31,49,3381.81
