Ticker,Trades,Wins,Losses,WinRate%,AvgPL%,TotalPL%,MaxWin%,MaxLoss%,SL_Hit,Trail_Stop,Timeout,STRONG_BUY,BUY
ORCL,1,0,1,0.0,-5.94,-5.94,-5.94,-5.94,1,0,0,1,0
CFG,1,0,1,0.0,-6.04,-6.04,-6.04,-6.04,1,0,0,1,0
TEX,1,0,1,0.0,-6.07,-6.07,-6.07,-6.07,1,0,0,0,1
PAYC,1,0,1,0.0,-6.1,-6.1,-6.1,-6.1,1,0,0,0,1
COP,1,0,1,0.0,-6.22,-6.22,-6.22,-6.22,1,0,0,0,1
WMT,1,0,1,0.0,-6.24,-6.24,-6.24,-6.24,1,0,0,0,1
NBIX,1,0,1,0.0,-6.42,-6.42,-6.42,-6.42,1,0,0,0,1
VRSK,2,0,2,0.0,-3.23,-6.45,-3.06,-3.39,2,0,0,0,2
PGR,2,0,2,0.0,-3.25,-6.5,-2.87,-3.63,1,0,0,0,2
NUE,1,0,1,0.0,-6.53,-6.53,-6.53,-6.53,1,0,0,0,1
WMS,4,2,2,50.0,-1.65,-6.59,6.8,-8.0,2,2,0,0,4
PRIM,1,0,1,0.0,-6.62,-6.62,-6.62,-6.62,1,0,0,0,1
F,1,0,1,0.0,-6.7,-6.7,-6.7,-6.7,1,0,0,0,1
SHW,2,0,2,0.0,-3.37,-6.74,-2.71,-4.03,1,0,0,0,2
EOG,2,0,2,0.0,-3.42,-6.83,-0.9,-5.93,1,0,0,0,2
ZM,9,2,7,22.2,-0.8,-7.18,36.52,-11.76,6,2,0,2,7
GEV,1,0,1,0.0,-7.29,-7.29,-7.29,-7.29,1,0,0,1,0
MP,3,0,3,33.3,-2.46,-7.37,9.77,-9.14,2,0,0,3,0
BWA,1,0,1,0.0,-7.42,-7.42,-7.42,-7.42,1,0,0,1,0
EXEL,2,0,2,0.0,-3.71,-7.43,-1.35,-6.08,1,0,1,2,0
RKT,2,1,1,50.0,-3.73,-7.46,1.35,-8.81,1,1,0,2,0
AJG,2,0,2,0.0,-3.92,-7.85,-3.6,-4.25,2,0,0,0,2
PFE,1,0,1,0.0,-8.0,-8.0,-8.0,-8.0,1,0,0,0,1
